Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,788,Tunisia,TUN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,64415922,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,792,Turkey,TUR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1773360176,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,796,Turks and Caicos Isds,TCA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2712,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,800,Uganda,UGA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,50566,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,804,Ukraine,UKR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,26146523,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,807,North Macedonia,MKD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,10912585,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,818,Egypt,EGY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,380328797,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,834,United Rep. of Tanzania,TZA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,13675,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,839,Special Categories,,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,736767486,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,842,USA,USA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1035290702,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,854,Burkina Faso,BFA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1028,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,858,Uruguay,URY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1344112,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,860,Uzbekistan,UZB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4335931,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,862,Venezuela,VEN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,21210487,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,887,Yemen,YEM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4357267,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,894,Zambia,ZMB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,472,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,899,"Areas, nes",,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,35674432,,,4
